Mon May  5 09:50:04 -10 2025 | GPU:  | CPU: CPU usage: 7.63% user, 11.64% sys, 80.72% idle 
Mon May  5 09:50:14 -10 2025 | GPU:  | CPU: CPU usage: 2.89% user, 10.33% sys, 86.77% idle 
Mon May  5 09:50:25 -10 2025 | GPU:  | CPU: CPU usage: 2.64% user, 9.5% sys, 88.30% idle 
Mon May  5 09:50:35 -10 2025 | GPU:  | CPU: CPU usage: 3.11% user, 9.33% sys, 87.54% idle 
Mon May  5 09:50:46 -10 2025 | GPU:  | CPU: CPU usage: 2.26% user, 9.5% sys, 88.67% idle 
Mon May  5 09:50:57 -10 2025 | GPU:  | CPU: CPU usage: 3.67% user, 9.55% sys, 86.76% idle 
Mon May  5 09:51:07 -10 2025 | GPU:  | CPU: CPU usage: 3.61% user, 9.74% sys, 86.64% idle 
Mon May  5 09:51:18 -10 2025 | GPU:  | CPU: CPU usage: 3.75% user, 9.39% sys, 86.84% idle 
Mon May  5 09:51:28 -10 2025 | GPU:  | CPU: CPU usage: 4.8% user, 9.66% sys, 86.24% idle 
Mon May  5 09:51:39 -10 2025 | GPU:  | CPU: CPU usage: 5.55% user, 9.25% sys, 85.18% idle 
Mon May  5 09:51:49 -10 2025 | GPU:  | CPU: CPU usage: 5.47% user, 10.58% sys, 83.94% idle 
Mon May  5 09:52:00 -10 2025 | GPU:  | CPU: CPU usage: 5.53% user, 9.96% sys, 84.50% idle 
Mon May  5 09:52:10 -10 2025 | GPU:  | CPU: CPU usage: 2.39% user, 8.36% sys, 89.24% idle 
Mon May  5 09:52:21 -10 2025 | GPU:  | CPU: CPU usage: 2.68% user, 9.19% sys, 88.12% idle 
Mon May  5 09:52:31 -10 2025 | GPU:  | CPU: CPU usage: 3.46% user, 10.0% sys, 86.53% idle 
Mon May  5 09:52:42 -10 2025 | GPU:  | CPU: CPU usage: 7.43% user, 11.15% sys, 81.41% idle 
Mon May  5 09:52:53 -10 2025 | GPU:  | CPU: CPU usage: 4.51% user, 10.15% sys, 85.33% idle 
Mon May  5 09:53:03 -10 2025 | GPU:  | CPU: CPU usage: 6.15% user, 10.0% sys, 83.84% idle 
Mon May  5 09:53:14 -10 2025 | GPU:  | CPU: CPU usage: 4.31% user, 9.48% sys, 86.20% idle 
Mon May  5 09:53:24 -10 2025 | GPU:  | CPU: CPU usage: 7.23% user, 10.63% sys, 82.12% idle 
Mon May  5 09:53:35 -10 2025 | GPU:  | CPU: CPU usage: 2.81% user, 9.23% sys, 87.95% idle 
Mon May  5 09:53:45 -10 2025 | GPU:  | CPU: CPU usage: 3.6% user, 9.57% sys, 87.35% idle 
Mon May  5 09:53:56 -10 2025 | GPU:  | CPU: CPU usage: 1.92% user, 8.84% sys, 89.23% idle 
Mon May  5 09:54:06 -10 2025 | GPU:  | CPU: CPU usage: 3.46% user, 10.76% sys, 85.76% idle 
Mon May  5 09:54:17 -10 2025 | GPU:  | CPU: CPU usage: 6.39% user, 10.52% sys, 83.8% idle 
Mon May  5 09:54:27 -10 2025 | GPU:  | CPU: CPU usage: 7.8% user, 11.56% sys, 81.34% idle 
Mon May  5 09:54:38 -10 2025 | GPU:  | CPU: CPU usage: 10.21% user, 12.77% sys, 77.0% idle 
Mon May  5 09:54:48 -10 2025 | GPU:  | CPU: CPU usage: 11.39% user, 19.48% sys, 69.11% idle 
Mon May  5 09:54:59 -10 2025 | GPU:  | CPU: CPU usage: 6.43% user, 14.39% sys, 79.16% idle 
Mon May  5 09:55:09 -10 2025 | GPU:  | CPU: CPU usage: 7.80% user, 17.10% sys, 75.9% idle 
Mon May  5 09:55:20 -10 2025 | GPU:  | CPU: CPU usage: 10.7% user, 20.89% sys, 69.2% idle 
Mon May  5 09:55:31 -10 2025 | GPU:  | CPU: CPU usage: 3.38% user, 10.90% sys, 85.71% idle 
Mon May  5 09:55:41 -10 2025 | GPU:  | CPU: CPU usage: 2.65% user, 10.60% sys, 86.74% idle 
Mon May  5 09:55:52 -10 2025 | GPU:  | CPU: CPU usage: 4.49% user, 10.11% sys, 85.39% idle 
Mon May  5 09:56:02 -10 2025 | GPU:  | CPU: CPU usage: 5.92% user, 10.74% sys, 83.33% idle 
Mon May  5 09:56:13 -10 2025 | GPU:  | CPU: CPU usage: 3.87% user, 12.79% sys, 83.33% idle 
Mon May  5 09:56:23 -10 2025 | GPU:  | CPU: CPU usage: 5.10% user, 10.58% sys, 84.30% idle 
Mon May  5 09:56:34 -10 2025 | GPU:  | CPU: CPU usage: 5.20% user, 11.52% sys, 83.27% idle 
Mon May  5 09:56:44 -10 2025 | GPU:  | CPU: CPU usage: 3.40% user, 9.78% sys, 86.80% idle 
Mon May  5 09:56:55 -10 2025 | GPU:  | CPU: CPU usage: 3.76% user, 11.71% sys, 84.51% idle 
Mon May  5 09:57:05 -10 2025 | GPU:  | CPU: CPU usage: 11.25% user, 15.0% sys, 73.75% idle 
Mon May  5 09:57:16 -10 2025 | GPU:  | CPU: CPU usage: 5.69% user, 9.75% sys, 84.55% idle 
Mon May  5 09:57:26 -10 2025 | GPU:  | CPU: CPU usage: 4.70% user, 14.50% sys, 80.78% idle 
Mon May  5 09:57:37 -10 2025 | GPU:  | CPU: CPU usage: 2.75% user, 9.84% sys, 87.40% idle 
Mon May  5 09:57:48 -10 2025 | GPU:  | CPU: CPU usage: 6.64% user, 12.10% sys, 81.25% idle 
Mon May  5 09:57:58 -10 2025 | GPU:  | CPU: CPU usage: 4.28% user, 8.94% sys, 86.77% idle 
Mon May  5 09:58:09 -10 2025 | GPU:  | CPU: CPU usage: 3.87% user, 9.30% sys, 86.82% idle 
Mon May  5 09:58:19 -10 2025 | GPU:  | CPU: CPU usage: 4.26% user, 10.7% sys, 85.65% idle 
